時刻水位月表検索結果
水系名,多摩川
河川名,多摩川
観測所名,石原
観測所記号,303051283310050
#
#日付,1時データ,1時フラグ,,,,,,,,24時データ,24時フラグ
#  フラグの意味： *:暫定値, $:欠測, #:閉局, -:未登録
#
,1時,,2時,,3時,,4時,,5時,,6時,,7時,,8時,,9時,,10時,,11時,,12時,,13時,,14時,,15時,,16時,,17時,,18時,,19時,,20時,,21時,,22時,,23時,,24時,
2020/06/01,    0.62, ,    0.62, ,    0.63, ,    0.63, ,    0.63, ,    0.62, ,    0.62, ,    0.61, ,    0.61, ,    0.62, ,    0.62, ,    0.62, ,    0.62, ,    0.62, ,    0.63, ,    0.63, ,    0.64, ,    0.64, ,    0.65, ,    0.65, ,    0.66, ,    0.66, ,    0.66, ,    0.67, 
2020/06/02,    0.68, ,    0.68, ,    0.69, ,    0.70, ,    0.71, ,    0.69, ,    0.67, ,    0.67, ,    0.67, ,    0.67, ,    0.67, ,    0.67, ,    0.67, ,    0.68, ,    0.68, ,    0.69, ,    0.68, ,    0.67, ,    0.67, ,    0.67, ,    0.67, ,    0.67, ,    0.67, ,    0.67, 
2020/06/03,    0.68, ,    0.68, ,    0.68, ,    0.68, ,    0.67, ,    0.67, ,    0.66, ,    0.66, ,    0.65, ,    0.66, ,    0.66, ,    0.66, ,    0.66, ,    0.67, ,    0.67, ,    0.68, ,    0.67, ,    0.66, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.64, ,    0.64, 
2020/06/04,    0.64, ,    0.64, ,    0.65, ,    0.65, ,    0.64, ,    0.64, ,    0.63, ,    0.62, ,    0.62, ,    0.63, ,    0.63, ,    0.63, ,    0.63, ,    0.64, ,    0.64, ,    0.65, ,    0.65, ,    0.64, ,    0.63, ,    0.63, ,    0.63, ,    0.64, ,    0.64, ,    0.64, 
2020/06/05,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.64, ,    0.63, ,    0.63, ,    0.63, ,    0.63, ,    0.63, ,    0.63, ,    0.63, ,    0.64, ,    0.64, ,    0.65, ,    0.65, ,    0.64, ,    0.63, ,    0.63, ,    0.63, ,    0.64, ,    0.64, ,    0.64, 
2020/06/06,    0.64, ,    0.64, ,    0.64, ,    0.64, ,    0.64, ,    0.64, ,    0.63, ,    0.62, ,    0.62, ,    0.62, ,    0.62, ,    0.62, ,    0.62, ,    0.62, ,    0.63, ,    0.63, ,    0.64, ,    0.64, ,    0.65, ,    1.53, ,    1.34, ,    1.20, ,    1.17, ,    1.14, 
2020/06/07,    1.10, ,    1.04, ,    0.99, ,    0.94, ,    0.91, ,    0.88, ,    0.85, ,    0.83, ,    0.82, ,    0.82, ,    0.77, ,    0.70, ,    0.79, ,    0.79, ,    0.78, ,    0.77, ,    0.76, ,    0.75, ,    0.74, ,    0.73, ,    0.72, ,    0.71, ,    0.70, ,    0.69, 
2020/06/08,    0.68, ,    0.68, ,    0.68, ,    0.67, ,    0.67, ,    0.66, ,    0.65, ,    0.65, ,    0.64, ,    0.65, ,    0.66, ,    0.67, ,    0.67, ,    0.68, ,    0.69, ,    0.68, ,    0.67, ,    0.67, ,    0.66, ,    0.66, ,    0.66, ,    0.66, ,    0.67, ,    0.66, 
2020/06/09,    0.66, ,    0.67, ,    0.68, ,    0.68, ,    0.67, ,    0.66, ,    0.65, ,    0.65, ,    0.64, ,    0.65, ,    0.64, ,    0.64, ,    0.64, ,    0.64, ,    0.65, ,    0.66, ,    0.66, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.65, 
2020/06/10,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.64, ,    0.64, ,    0.64, ,    0.63, ,    0.64, ,    0.64, ,    0.64, ,    0.64, ,    0.64, ,    0.65, ,    0.66, ,    0.66, ,    0.65, ,    0.64, ,    0.64, ,    0.64, ,    0.64, ,    0.64, ,    0.65, 
2020/06/11,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.64, ,    0.63, ,    0.63, ,    0.63, ,    0.63, ,    0.63, ,    0.64, ,    0.64, ,    0.64, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.66, ,    0.66, ,    0.67, ,    0.67, ,    0.68, ,    0.68, 
2020/06/12,    0.67, ,    0.67, ,    0.67, ,    0.66, ,    0.65, ,    0.65, ,    0.64, ,    0.64, ,    0.64, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.65, ,    0.66, ,    0.67, ,    0.66, ,    0.65, ,    0.65, ,    0.65, ,    0.66, ,    0.86, ,    0.94, ,    1.44, 
2020/06/13,    1.28, ,    1.14, ,    1.05, ,    0.97, ,    0.91, ,    0.87, ,    0.86, ,    0.93, ,    0.93, ,    0.90, ,    0.89, ,    0.90, ,    1.14, ,    1.17, ,    1.22, ,    1.27, ,    1.27, ,    1.22, ,    1.19, ,    1.16, ,    1.15, ,    1.15, ,    1.15, ,    1.14, 
2020/06/14,    1.13, ,    1.11, ,    1.09, ,    1.06, ,    1.03, ,    1.02, ,    1.00, ,    0.99, ,    0.99, ,    0.98, ,    0.98, ,    0.97, ,    0.97, ,    0.96, ,    0.96, ,    0.96, ,    0.95, ,    0.94, ,    0.94, ,    0.93, ,    0.93, ,    0.93, ,    0.93, ,    0.93, 
2020/06/15,    0.92, ,    0.92, ,    0.91, ,    0.90, ,    0.89, ,    0.88, ,    0.88, ,    0.87, ,    0.87, ,    0.87, ,    0.76, ,    0.86, ,    0.88, ,    0.88, ,    0.87, ,    0.86, ,    0.86, ,    0.85, ,    0.85, ,    0.85, ,    0.85, ,    0.86, ,    0.88, ,    0.89, 
2020/06/16,    0.90, ,    0.90, ,    0.90, ,    0.89, ,    0.88, ,    0.87, ,    0.87, ,    0.87, ,    0.86, ,    0.86, ,    0.87, ,    0.87, ,    0.87, ,    0.88, ,    0.88, ,    0.87, ,    0.87, ,    0.86, ,    0.86, ,    0.86, ,    0.87, ,    0.87, ,    0.87, ,    0.87, 
2020/06/17,    0.87, ,    0.87, ,    0.87, ,    0.86, ,    0.86, ,    0.85, ,    0.85, ,    0.85, ,    0.85, ,    0.85, ,    0.85, ,    0.85, ,    0.86, ,    0.86, ,    0.86, ,    0.86, ,    0.85, ,    0.84, ,    0.84, ,    0.85, ,    0.85, ,    0.85, ,    0.85, ,    0.85, 
