,datetime,ishihara
0,01-01-2020 01:00,0.57
1,01-01-2020 02:00,0.56
2,01-01-2020 03:00,0.56
3,01-01-2020 04:00,0.55
4,01-01-2020 05:00,0.55
5,01-01-2020 06:00,0.55
6,01-01-2020 07:00,0.54
7,01-01-2020 08:00,0.54
8,01-01-2020 09:00,0.54
9,01-01-2020 10:00,0.54
10,01-01-2020 11:00,0.55
11,01-01-2020 12:00,0.55
12,01-01-2020 13:00,0.56
13,01-01-2020 14:00,0.57
14,01-01-2020 15:00,0.58
15,01-01-2020 16:00,0.59
16,01-01-2020 17:00,0.6
17,01-01-2020 18:00,0.61
18,01-01-2020 19:00,0.61
19,01-01-2020 20:00,0.6
20,01-01-2020 21:00,0.59
21,01-01-2020 22:00,0.58
22,01-01-2020 23:00,0.57
23,02-01-2020 00:00,0.57
24,02-01-2020 01:00,0.67
25,02-01-2020 02:00,0.66
26,02-01-2020 03:00,0.66
27,02-01-2020 04:00,0.66
28,02-01-2020 05:00,0.66
29,02-01-2020 06:00,0.66
30,02-01-2020 07:00,0.65
31,02-01-2020 08:00,0.65
32,02-01-2020 09:00,0.65
33,02-01-2020 10:00,0.65
34,02-01-2020 11:00,0.65
35,02-01-2020 12:00,0.66
36,02-01-2020 13:00,0.67
37,02-01-2020 14:00,0.67
38,02-01-2020 15:00,0.67
39,02-01-2020 16:00,0.68
40,02-01-2020 17:00,0.68
41,02-01-2020 18:00,0.67
42,02-01-2020 19:00,0.67
43,02-01-2020 20:00,0.67
44,02-01-2020 21:00,0.67
45,02-01-2020 22:00,0.67
46,02-01-2020 23:00,0.66
47,03-01-2020 00:00,0.66
48,03-01-2020 01:00,0.66
49,03-01-2020 02:00,0.66
50,03-01-2020 03:00,0.66
51,03-01-2020 04:00,0.66
52,03-01-2020 05:00,0.66
53,03-01-2020 06:00,0.66
54,03-01-2020 07:00,0.66
55,03-01-2020 08:00,0.66
56,03-01-2020 09:00,0.66
57,03-01-2020 10:00,0.66
58,03-01-2020 11:00,0.67
59,03-01-2020 12:00,0.67
60,03-01-2020 13:00,0.67
61,03-01-2020 14:00,0.67
62,03-01-2020 15:00,0.67
63,03-01-2020 16:00,0.68
64,03-01-2020 17:00,0.68
65,03-01-2020 18:00,0.68
66,03-01-2020 19:00,0.67
67,03-01-2020 20:00,0.67
68,03-01-2020 21:00,0.67
69,03-01-2020 22:00,0.66
70,03-01-2020 23:00,0.66
71,04-01-2020 00:00,0.66
72,04-01-2020 01:00,0.66
73,04-01-2020 02:00,0.66
74,04-01-2020 03:00,0.66
75,04-01-2020 04:00,0.66
76,04-01-2020 05:00,0.66
77,04-01-2020 06:00,0.65
78,04-01-2020 07:00,0.65
79,04-01-2020 08:00,0.65
80,04-01-2020 09:00,0.65
81,04-01-2020 10:00,0.65
82,04-01-2020 11:00,0.66
83,04-01-2020 12:00,0.67
84,04-01-2020 13:00,0.67
85,04-01-2020 14:00,0.67
86,04-01-2020 15:00,0.67
87,04-01-2020 16:00,0.68
88,04-01-2020 17:00,0.68
89,04-01-2020 18:00,0.68
90,04-01-2020 19:00,0.68
91,04-01-2020 20:00,0.68
92,04-01-2020 21:00,0.68
93,04-01-2020 22:00,0.67
94,04-01-2020 23:00,0.67
95,05-01-2020 00:00,0.67
96,05-01-2020 01:00,0.67
97,05-01-2020 02:00,0.67
98,05-01-2020 03:00,0.67
99,05-01-2020 04:00,0.67
100,05-01-2020 05:00,0.67
101,05-01-2020 06:00,0.66
102,05-01-2020 07:00,0.65
103,05-01-2020 08:00,0.65
104,05-01-2020 09:00,0.65
105,05-01-2020 10:00,0.65
106,05-01-2020 11:00,0.66
107,05-01-2020 12:00,0.67
108,05-01-2020 13:00,0.67
109,05-01-2020 14:00,0.67
110,05-01-2020 15:00,0.67
111,05-01-2020 16:00,0.68
112,05-01-2020 17:00,0.67
113,05-01-2020 18:00,0.67
114,05-01-2020 19:00,0.67
115,05-01-2020 20:00,0.67
116,05-01-2020 21:00,0.67
117,05-01-2020 22:00,0.67
118,05-01-2020 23:00,0.67
119,06-01-2020 00:00,0.67
120,06-01-2020 01:00,0.67
121,06-01-2020 02:00,0.67
122,06-01-2020 03:00,0.67
123,06-01-2020 04:00,0.67
124,06-01-2020 05:00,0.66
125,06-01-2020 06:00,0.66
126,06-01-2020 07:00,0.66
127,06-01-2020 08:00,0.65
128,06-01-2020 09:00,0.65
129,06-01-2020 10:00,0.66
130,06-01-2020 11:00,0.67
131,06-01-2020 12:00,0.67
132,06-01-2020 13:00,0.67
133,06-01-2020 14:00,0.67
134,06-01-2020 15:00,0.67
135,06-01-2020 16:00,0.68
136,06-01-2020 17:00,0.67
137,06-01-2020 18:00,0.67
138,06-01-2020 19:00,0.67
139,06-01-2020 20:00,0.67
140,06-01-2020 21:00,0.66
141,06-01-2020 22:00,0.66
142,06-01-2020 23:00,0.66
143,07-01-2020 00:00,0.66
144,07-01-2020 01:00,0.67
145,07-01-2020 02:00,0.67
146,07-01-2020 03:00,0.67
147,07-01-2020 04:00,0.67
148,07-01-2020 05:00,0.66
149,07-01-2020 06:00,0.66
150,07-01-2020 07:00,0.66
151,07-01-2020 08:00,0.66
152,07-01-2020 09:00,0.65
153,07-01-2020 10:00,0.66
154,07-01-2020 11:00,0.65
155,07-01-2020 12:00,0.65
156,07-01-2020 13:00,0.65
157,07-01-2020 14:00,0.64
158,07-01-2020 15:00,0.62
159,07-01-2020 16:00,0.64
160,07-01-2020 17:00,0.66
161,07-01-2020 18:00,0.66
162,07-01-2020 19:00,0.66
163,07-01-2020 20:00,0.66
164,07-01-2020 21:00,0.66
165,07-01-2020 22:00,0.66
166,07-01-2020 23:00,0.66
167,08-01-2020 00:00,0.66
168,08-01-2020 01:00,0.67
169,08-01-2020 02:00,0.67
170,08-01-2020 03:00,0.68
171,08-01-2020 04:00,0.68
172,08-01-2020 05:00,0.68
173,08-01-2020 06:00,0.67
174,08-01-2020 07:00,0.67
175,08-01-2020 08:00,0.66
176,08-01-2020 09:00,0.66
177,08-01-2020 10:00,0.66
178,08-01-2020 11:00,0.66
179,08-01-2020 12:00,0.67
180,08-01-2020 13:00,0.83
181,08-01-2020 14:00,0.9
182,08-01-2020 15:00,0.86
183,08-01-2020 16:00,0.86
184,08-01-2020 17:00,0.83
185,08-01-2020 18:00,0.8
186,08-01-2020 19:00,0.78
187,08-01-2020 20:00,0.77
188,08-01-2020 21:00,0.76
189,08-01-2020 22:00,0.75
190,08-01-2020 23:00,0.74
191,09-01-2020 00:00,0.73
192,09-01-2020 01:00,0.72
193,09-01-2020 02:00,0.72
194,09-01-2020 03:00,0.72
195,09-01-2020 04:00,0.72
196,09-01-2020 05:00,0.72
197,09-01-2020 06:00,0.7
198,09-01-2020 07:00,0.69
199,09-01-2020 08:00,0.69
200,09-01-2020 09:00,0.69
201,09-01-2020 10:00,0.69
202,09-01-2020 11:00,0.7
203,09-01-2020 12:00,0.69
204,09-01-2020 13:00,0.69
205,09-01-2020 14:00,0.69
206,09-01-2020 15:00,0.7
207,09-01-2020 16:00,0.7
208,09-01-2020 17:00,0.69
209,09-01-2020 18:00,0.69
210,09-01-2020 19:00,0.69
211,09-01-2020 20:00,0.68
212,09-01-2020 21:00,0.68
213,09-01-2020 22:00,0.68
214,09-01-2020 23:00,0.68
215,10-01-2020 00:00,0.68
216,10-01-2020 01:00,0.69
217,10-01-2020 02:00,0.69
218,10-01-2020 03:00,0.69
219,10-01-2020 04:00,0.69
220,10-01-2020 05:00,0.69
221,10-01-2020 06:00,0.68
222,10-01-2020 07:00,0.67
223,10-01-2020 08:00,0.67
224,10-01-2020 09:00,0.67
225,10-01-2020 10:00,0.67
226,10-01-2020 11:00,0.68
227,10-01-2020 12:00,0.68
228,10-01-2020 13:00,0.68
229,10-01-2020 14:00,0.68
