時刻水位月表検索結果
水系名,多摩川
河川名,多摩川
観測所名,多摩川河口
観測所記号,303051283310010
#
#日付,1時データ,1時フラグ,,,,,,,,24時データ,24時フラグ
#  フラグの意味： *:暫定値, $:欠測, #:閉局, -:未登録
#
,1時,,2時,,3時,,4時,,5時,,6時,,7時,,8時,,9時,,10時,,11時,,12時,,13時,,14時,,15時,,16時,,17時,,18時,,19時,,20時,,21時,,22時,,23時,,24時,
2020/02/01,    0.91, ,    0.80, ,    0.78, ,    0.86, ,    1.04, ,    1.25, ,    1.44, ,    1.59, ,    1.68, ,    1.68, ,    1.56, ,    1.40, ,    1.19, ,    1.00, ,    0.91, ,    0.91, ,    1.01, ,    1.15, ,    1.27, ,    1.35, ,    1.41, ,    1.41, ,    1.36, ,    1.27, 
2020/02/02,    1.12, ,    0.99, ,    0.94, ,    0.96, ,    1.05, ,    1.20, ,    1.36, ,    1.52, ,    1.60, ,    1.64, ,    1.56, ,    1.42, ,    1.24, ,    1.07, ,    0.91, ,    0.84, ,    0.86, ,    0.92, ,    1.00, ,    1.09, ,    1.20, ,    1.26, ,    1.29, ,    1.28, 
2020/02/03,    1.23, ,    1.14, ,    1.06, ,    1.06, ,    1.12, ,    1.23, ,    1.36, ,    1.46, ,    1.53, ,    1.58, ,    1.59, ,    1.56, ,    1.44, ,    1.31, ,    1.15, ,    1.00, ,    0.91, ,    0.86, ,    0.87, ,    0.95, ,    1.04, ,    1.16, ,    1.27, ,    1.33, 
2020/02/04,    1.37, ,    1.35, ,    1.32, ,    1.28, ,    1.26, ,    1.26, ,    1.28, ,    1.36, ,    1.43, ,    1.49, ,    1.54, ,    1.54, ,    1.50, ,    1.41, ,    1.25, ,    1.06, ,    0.93, ,    0.80, ,    0.73, ,    0.72, ,    0.79, ,    0.91, ,    1.09, ,    1.29, 
2020/02/05,    1.42, ,    1.51, ,    1.53, ,    1.53, ,    1.49, ,    1.44, ,    1.40, ,    1.42, ,    1.48, ,    1.54, ,    1.64, ,    1.73, ,    1.75, ,    1.71, ,    1.60, ,    1.40, ,    1.20, ,    0.95, ,    0.76, ,    0.58, ,    0.53, ,    0.56, ,    0.77, ,    1.03, 
2020/02/06,    1.27, ,    1.44, ,    1.53, ,    1.57, ,    1.54, ,    1.46, ,    1.33, ,    1.24, ,    1.17, ,    1.16, ,    1.24, ,    1.37, ,    1.49, ,    1.55, ,    1.50, ,    1.39, ,    1.17, ,    0.89, ,    0.64, ,    0.52, ,    0.46, ,    0.43, ,    0.41, ,    0.51, 
2020/02/07,    0.94, ,    1.25, ,    1.51, ,    1.63, ,    1.63, ,    1.54, ,    1.38, ,    1.23, ,    1.14, ,    1.09, ,    1.16, ,    1.31, ,    1.48, ,    1.64, ,    1.74, ,    1.70, ,    1.55, ,    1.24, ,    0.89, ,    0.60, ,    0.50, ,    0.45, ,    0.42, ,    0.44, 
2020/02/08,    0.71, ,    1.15, ,    1.52, ,    1.80, ,    1.91, ,    1.87, ,    1.71, ,    1.48, ,    1.28, ,    1.16, ,    1.15, ,    1.27, ,    1.48, ,    1.70, ,    1.88, ,    1.97, ,    1.89, ,    1.64, ,    1.27, ,    0.84, ,    0.58, ,    0.48, ,    0.44, ,    0.42, 
2020/02/09,    0.46, ,    0.90, ,    1.32, ,    1.71, ,    1.92, ,    1.97, ,    1.81, ,    1.56, ,    1.29, ,    1.06, ,    0.99, ,    1.05, ,    1.24, ,    1.50, ,    1.77, ,    1.95, ,    2.01, ,    1.88, ,    1.56, ,    1.15, ,    0.73, ,    0.54, ,    0.47, ,    0.44, 
2020/02/10,    0.41, ,    0.51, ,    1.10, ,    1.58, ,    1.93, ,    2.08, ,    2.05, ,    1.86, ,    1.57, ,    1.30, ,    1.05, ,    0.98, ,    1.08, ,    1.33, ,    1.65, ,    1.95, ,    2.13, ,    2.13, ,    1.90, ,    1.52, ,    1.05, ,    0.68, ,    0.53, ,    0.47, 
2020/02/11,    0.44, ,    0.41, ,    0.53, ,    1.11, ,    1.57, ,    1.86, ,    1.93, ,    1.77, ,    1.46, ,    1.12, ,    0.83, ,    0.73, ,    0.75, ,    0.91, ,    1.21, ,    1.57, ,    1.83, ,    1.95, ,    1.87, ,    1.64, ,    1.27, ,    0.83, ,    0.58, ,    0.49, 
2020/02/12,    0.45, ,    0.42, ,    0.46, ,    0.93, ,    1.38, ,    1.73, ,    1.92, ,    1.92, ,    1.71, ,    1.38, ,    1.01, ,    0.77, ,    0.69, ,    0.80, ,    1.03, ,    1.37, ,    1.67, ,    1.86, ,    1.92, ,    1.83, ,    1.61, ,    1.27, ,    0.87, ,    0.62, 
2020/02/13,    0.53, ,    0.48, ,    0.52, ,    0.87, ,    1.27, ,    1.65, ,    1.91, ,    2.02, ,    1.92, ,    1.64, ,    1.26, ,    0.89, ,    0.74, ,    0.74, ,    0.88, ,    1.13, ,    1.41, ,    1.63, ,    1.79, ,    1.83, ,    1.74, ,    1.48, ,    1.18, ,    0.86, 
2020/02/14,    0.66, ,    0.57, ,    0.62, ,    0.83, ,    1.15, ,    1.47, ,    1.71, ,    1.83, ,    1.81, ,    1.65, ,    1.37, ,    1.06, ,    0.80, ,    0.66, ,    0.65, ,    0.78, ,    1.02, ,    1.30, ,    1.50, ,    1.61, ,    1.60, ,    1.54, ,    1.37, ,    1.17, 
